initialRelayScenario,sensorScenario,NmbrofSensors,Algorithm,smin,fmin,NmbrofFcal,RunTime
Uniformly Distributed,Uniformly Distributed,3,Monte Carlo,"(0.58,0.4)",0.916554416802922,100,5.9397
Uniformly Distributed,Uniformly Distributed,3,l2,"(0.52,0.39)",0.844452596234046,84,78.2432
Uniformly Distributed,Uniformly Distributed,3,Nelder-Mead Simplex,"(0.51,0.4)",0.839649924819932,107,35.5093
Uniformly Distributed,Uniformly Distributed,3,Log Barrier,"(0.15,0.18)",1.98736868382692,0,11.709
Uniformly Distributed,Uniformly Distributed,6,Monte Carlo,"(0.51,0.4)",1.5056675808952,100,0.93
Uniformly Distributed,Uniformly Distributed,6,l2,"(0.49,0.43)",1.49915714229614,147,56.6501
Uniformly Distributed,Uniformly Distributed,6,Nelder-Mead Simplex,"(0.49,0.43)",1.49895252066474,99,6.328
Uniformly Distributed,Uniformly Distributed,6,Log Barrier,"(0.15,0.18)",3.17816093238925,0,0.1439
Uniformly Distributed,Uniformly Distributed,12,Monte Carlo,"(0.47,0.4)",2.42180197738057,100,0.8846
Uniformly Distributed,Uniformly Distributed,12,l2,"(0.52,0.42)",2.36019429097206,168,91.7352
Uniformly Distributed,Uniformly Distributed,12,Nelder-Mead Simplex,"(0.52,0.42)",2.35625796654932,83,2.1881
Uniformly Distributed,Uniformly Distributed,12,Log Barrier,"(0.15,0.18)",5.11707820790558,0,0.398
Uniformly Distributed,Uniformly Distributed,24,Monte Carlo,"(0.47,0.45)",5.08255731044851,100,1.3749
Uniformly Distributed,Uniformly Distributed,24,l2,"(0.45,0.46)",5.06080440633129,189,103.3044
Uniformly Distributed,Uniformly Distributed,24,Nelder-Mead Simplex,"(0.46,0.46)",5.05806856704325,105,2.6131
Uniformly Distributed,Uniformly Distributed,24,Log Barrier,"(0.15,0.18)",10.2342733467412,0,0.4603
Uniformly Distributed,Uniformly Distributed,48,Monte Carlo,"(0.42,0.38)",8.98470784709383,100,0.8177
Uniformly Distributed,Uniformly Distributed,48,l2,"(0.44,0.45)",8.73338768747435,212,97.0092
Uniformly Distributed,Uniformly Distributed,48,Nelder-Mead Simplex,"(0.44,0.45)",8.73338776999227,71,1.8661
Uniformly Distributed,Uniformly Distributed,48,Log Barrier,"(0.15,0.18)",17.0163836137082,0,0.573
Uniformly Distributed,Uniformly Distributed,96,Monte Carlo,"(0.48,0.51)",16.8928649113287,100,2.8872
Uniformly Distributed,Uniformly Distributed,96,l2,"(0.48,0.46)",16.6507027030869,226,167.0739
Uniformly Distributed,Uniformly Distributed,96,Nelder-Mead Simplex,"(0.48,0.46)",16.6507028746197,72,3.0042
Uniformly Distributed,Uniformly Distributed,96,Log Barrier,"(0.15,0.18)",35.9356379123192,0,0.9151
Uniformly Distributed,Uniformly Distributed,192,Monte Carlo,"(0.55,0.47)",35.4025383873193,100,3.845
Uniformly Distributed,Uniformly Distributed,192,l2,"(0.49,0.51)",34.5265492681362,239,339.3983
Uniformly Distributed,Uniformly Distributed,192,Nelder-Mead Simplex,"(0.49,0.51)",34.526549917661,78,5.9282
Uniformly Distributed,Uniformly Distributed,192,Log Barrier,"(0.15,0.18)",79.4736643734336,0,1.7216
Uniformly Distributed,Uniformly Distributed,384,Monte Carlo,"(0.54,0.49)",66.8223774026272,100,7.8477
Uniformly Distributed,Uniformly Distributed,384,l2,"(0.5,0.47)",65.9074602400785,279,454.0955
Uniformly Distributed,Uniformly Distributed,384,Nelder-Mead Simplex,"(0.5,0.47)",65.9074607123417,71,5.9857
Uniformly Distributed,Uniformly Distributed,384,Log Barrier,"(0.15,0.18)",146.876367928511,0,3.323
